# refreshed 2026-09-11: audited against current harmonizer (harmonizers/impress.py) and OMOP builders (omop/builders/*.py); added omop_table/omop_field columns. Rows with omop_table "(not yet mapped)" are tracked in .data/mapping_gaps.csv. Re-verify after future harmonizer/builder changes.
class,field,source_columns,omop_table,omop_field,transformation,description,data_type,required
tumor_type,tumor_type.date,COH_EventDate,condition_occurrence,condition_start_date (falls back to patient.treatment_start_date when absent),Parsed to Date; last write wins per patient,Date of tumor type / diagnosis record,Date,optional
visits,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
visits,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
visits,row_index,(generated),(not an OMOP field; internal ordering key),,Sequential index per patient; ordered by date,Row index within patient's visit timeline,Int64,mandatory
visits,visits.date,VI_EventDate,visit_occurrence,"visit_start_date, visit_end_date","Parsed to Date; one Visit per calendar date, same-date VI rows collapse to the one carrying VITUMA* data",Date of a clinical visit,Date,mandatory
visits,visits.event_id,VI_EventId,visit_occurrence,visit_source_value,"Direct copy, stripped; tie-breaker for same-date rows",Visit/event identifier (e.g. V00),String,optional
adverse_events,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
adverse_events,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
adverse_events,row_index,(generated),(not an OMOP field; internal ordering key),,Sequential index per patient; ordered by start_date,Row index within patient's adverse events,Int64,mandatory
adverse_events,adverse_events.sequence_id,AE_AESPID,(not stored; used only to order rows during harmonization),,Cast to Int64,Sequence identifier for ordering,Int64,optional
adverse_events,adverse_events.end_date,"AE_AEENDAT, FU_FUPDEDAT",condition_occurrence,condition_end_date,"Parsed to Date; if null and was_serious is true and patient deceased, falls back to FU_FUPDEDAT (death date)",End date of adverse event,Date,optional
adverse_events,adverse_events.grade,AE_AETOXGRECD,"observation, measurement","observation_concept_id (CTCAE grade-N severity concept, on the severity modifier row); measurement.value_as_number",Cast to Int64,CTCAE toxicity grade (1-5),Int64,optional
adverse_events,adverse_events.outcome,AE_AEOUT,observation,value_as_concept_id (mapped outcome concept); value_source_value,Cast to String,Adverse event outcome (e.g. resolved),String,optional
adverse_events,adverse_events.related_to_treatment_1_status,AE_AEREL1CD,observation,value_as_concept_id (mapped relatedness concept); value_source_value; observation_source_value = 'related_to_treatment_1',"Mapped from code: 4='related', 1='not_related', 2 or 3='unknown'; cast to enum","Relatedness of adverse event to primary treatment (related, not_related, unknown)",String,optional
adverse_events,adverse_events.related_to_treatment_2_status,AE_AEREL2CD,observation,value_as_concept_id (mapped relatedness concept); value_source_value; observation_source_value = 'related_to_treatment_2',"Mapped from code: 4='related', 1='not_related', 2 or 3='unknown'; cast to enum","Relatedness of adverse event to secondary treatment (related, not_related, unknown)",String,optional
adverse_events,adverse_events.start_date,AE_AESTDAT,"condition_occurrence, measurement, observation",condition_start_date; measurement_date; observation_date (outcome/severity/relatedness/expectedness/was_serious rows),Parsed to Date,Start date of adverse event,Date,optional
adverse_events,adverse_events.term,AE_AECTCAET,"condition_occurrence, measurement","condition_concept_id, condition_source_value; measurement_concept_id, value_as_concept_id, measurement_source_value",Cast to String; rows filtered to non-null term only,Adverse event term (CTCAE terminology),String,mandatory
adverse_events,adverse_events.treatment_1_name,AE_AETRT1,observation,qualifier_source_value (on relatedness/expectedness rows for treatment 1),Cast to String,Name of primary treatment associated with this AE,String,optional
adverse_events,adverse_events.treatment_2_name,AE_AETRT2,observation,qualifier_source_value (on relatedness/expectedness rows for treatment 2),Cast to String,Name of secondary treatment associated with this AE,String,optional
adverse_events,adverse_events.turned_serious_date,AE_SAESTDAT,observation,observation_date; value_source_value (ISO date string),Parsed to Date,Date adverse event became serious,Date,optional
adverse_events,adverse_events.was_serious,AE_AESERCD,observation,value_as_concept_id (Yes/No),"1=true, 0=false",Whether the adverse event was classified as serious,Boolean,optional
adverse_events,adverse_events.was_serious_grade_expected_treatment_1,AE_SAEEXP1CD,observation,value_as_concept_id (mapped Expected/Not-Expected concept); observation_source_value = 'was_serious_grade_expected_treatment_1',"1=true, 2=false",Whether serious AE grade was expected for primary treatment,Boolean,optional
adverse_events,adverse_events.was_serious_grade_expected_treatment_2,AE_SAEEXP2CD,observation,value_as_concept_id (mapped Expected/Not-Expected concept); observation_source_value = 'was_serious_grade_expected_treatment_2',"1=true, 2=false",Whether serious AE grade was expected for secondary treatment,Boolean,optional
c30_collection,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
c30_collection,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
c30_collection,row_index,(generated),(not an OMOP field; internal ordering key),,Sequential index per patient; ordered by date,Row index within patient's C30 assessments,Int64,mandatory
c30_collection,c30_collection.date,C30_EventDate,measurement,"measurement_date, measurement_datetime",Parsed to Date,Date of EORTC QLQ-C30 questionnaire completion,Date,optional
c30_collection,c30_collection.event_name,C30_EventName,(not yet mapped),,"Direct copy, stripped",Visit/event identifier (e.g. V01),String,optional
c30_collection,c30_collection.q1,C30_C30_Q1,measurement,"measurement_source_value (used when present, else q1_code)","Direct copy, stripped",Q1: Trouble doing strenuous activities,String,optional
c30_collection,c30_collection.q1_code,C30_C30_Q1CD,measurement,measurement_concept_id (c30_q1 topic); value_as_concept_id (mapped answer level),Cast to Int64,Q1 response code,Int64,optional
c30_collection,c30_collection.q2-q30,C30_C30_Q{2-30},measurement,measurement_concept_id (c30_q{n} topic); value_as_concept_id (mapped answer level; Q29/Q30 use the global 1-7 scale),"Direct copy, stripped (text); cast to Int64 (code)",Questions 2-30 follow same pattern as Q1,String/Int64,optional
concomitant_medications,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
concomitant_medications,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
concomitant_medications,row_index,(generated),(not an OMOP field; internal ordering key),,"Sequential index per patient; ordered by sequence_id, start_date",Row index within patient's concomitant medications,Int64,mandatory
concomitant_medications,concomitant_medications.end_date,CM_CMENDAT,drug_exposure,drug_exposure_end_date (falls back to start_date),Parsed to Date,End date of medication,Date,optional
concomitant_medications,concomitant_medications.is_adverse_event_ongoing,CM_CMONGOCD,(not yet mapped),,"1=true, 0=false",Whether associated adverse event is ongoing,Boolean,optional
concomitant_medications,concomitant_medications.medication_name,CM_CMTRT,drug_exposure,"drug_concept_id, drug_source_value","Cast to String, stripped; rows filtered to non-null only",Medication name,String,mandatory
concomitant_medications,concomitant_medications.medication_ongoing,CM_CMONGOCD,(not yet mapped),,"1=true, 0=false",Whether medication is currently ongoing,Boolean,optional
concomitant_medications,concomitant_medications.sequence_id,CM_CMSPID,(not yet mapped),,Cast to Int64,Sequence identifier for ordering,Int64,optional
concomitant_medications,concomitant_medications.start_date,CM_CMSTDAT,drug_exposure,drug_exposure_start_date,Parsed to Date,Start date of medication,Date,optional
concomitant_medications,concomitant_medications.was_taken_due_to_adverse_event,CM_CMAEYN,(not yet mapped),,Parsed to Boolean (Yes/No text),Whether medication was prescribed due to an adverse event,Boolean,optional
concomitant_medications,concomitant_medications.was_taken_due_to_medical_history_event,CM_CMMHYNCD,(not yet mapped),,"1=true, 0=false",Whether medication was prescribed due to a medical history condition,Boolean,optional
eq5d_collection,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
eq5d_collection,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
eq5d_collection,row_index,(generated),(not an OMOP field; internal ordering key),,Sequential index per patient; ordered by date,Row index within patient's EQ-5D assessments,Int64,mandatory
eq5d_collection,eq5d_collection.date,EQ5D_EventDate,measurement,"measurement_date, measurement_datetime",Parsed to Date,Date of EQ-5D-5L questionnaire completion,Date,optional
eq5d_collection,eq5d_collection.event_name,EQ5D_EventName,(not yet mapped),,"Direct copy, stripped",Visit/event identifier,String,optional
eq5d_collection,eq5d_collection.qol_metric,EQ5D_EQ5DVAS,measurement,measurement_concept_id (eq5d_qol_score); value_as_number,Cast to Int64,Visual Analogue Scale (VAS) overall health score (0-100),Int64,optional
eq5d_collection,eq5d_collection.q1,EQ5D_EQ5D1,measurement,measurement_source_value,"Direct copy, stripped",EQ-5D dimension 1 response text,String,optional
eq5d_collection,eq5d_collection.q1_code,EQ5D_EQ5D1CD,measurement,measurement_concept_id (eq5d_q1_answer_code); value_as_number,Cast to Int64,EQ-5D dimension 1 response code (1-5),Int64,optional
eq5d_collection,eq5d_collection.q2,EQ5D_EQ5D2,measurement,measurement_source_value,"Direct copy, stripped",EQ-5D dimension 2 response text,String,optional
eq5d_collection,eq5d_collection.q2_code,EQ5D_EQ5D2CD,measurement,measurement_concept_id (eq5d_q2_answer_code); value_as_number,Cast to Int64,EQ-5D dimension 2 response code (1-5),Int64,optional
eq5d_collection,eq5d_collection.q3,EQ5D_EQ5D3,measurement,measurement_source_value,"Direct copy, stripped",EQ-5D dimension 3 response text,String,optional
eq5d_collection,eq5d_collection.q3_code,EQ5D_EQ5D3CD,measurement,measurement_concept_id (eq5d_q3_answer_code); value_as_number,Cast to Int64,EQ-5D dimension 3 response code (1-5),Int64,optional
eq5d_collection,eq5d_collection.q4,EQ5D_EQ5D4,measurement,measurement_source_value,"Direct copy, stripped",EQ-5D dimension 4 response text,String,optional
eq5d_collection,eq5d_collection.q4_code,EQ5D_EQ5D4CD,measurement,measurement_concept_id (eq5d_q4_answer_code); value_as_number,Cast to Int64,EQ-5D dimension 4 response code (1-5),Int64,optional
eq5d_collection,eq5d_collection.q5,EQ5D_EQ5D5,measurement,measurement_source_value,"Direct copy, stripped",EQ-5D dimension 5 response text,String,optional
eq5d_collection,eq5d_collection.q5_code,EQ5D_EQ5D5CD,measurement,measurement_concept_id (eq5d_q5_answer_code); value_as_number,Cast to Int64,EQ-5D dimension 5 response code (1-5),Int64,optional
medical_histories,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
medical_histories,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
medical_histories,row_index,(generated),(not an OMOP field; internal ordering key),,Sequential index per patient; ordered by start_date,Row index within patient's medical histories,Int64,mandatory
medical_histories,medical_histories.end_date,MH_MHENDAT,"condition_occurrence, procedure_occurrence",condition_end_date; procedure_end_date,Parsed to Date,End date of medical condition,Date,optional
medical_histories,medical_histories.sequence_id,MH_MHSPID,(not stored; used only as a validity gate before emitting condition_occurrence rows),,Cast to Int64,Sequence identifier for ordering,Int64,optional
medical_histories,medical_histories.start_date,MH_MHSTDAT,"condition_occurrence, procedure_occurrence, measurement",condition_start_date; procedure_date; measurement_date,Parsed to Date,Start date of medical condition,Date,optional
medical_histories,medical_histories.status,MH_MHONGO,(not yet mapped),,"Direct copy, stripped","Condition status description (e.g. ongoing, resolved)",String,optional
medical_histories,medical_histories.status_code,MH_MHONGOCD,(not yet mapped),,Cast to Int64,Condition status code,Int64,optional
medical_histories,medical_histories.term,MH_MHTERM,"condition_occurrence, procedure_occurrence, measurement","condition_concept_id, condition_source_value; procedure_concept_id, procedure_source_value; measurement_concept_id, value_as_concept_id, measurement_source_value","Direct copy, stripped; rows filtered to non-null term only",Medical history term/condition name,String,mandatory
previous_treatments,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
previous_treatments,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
previous_treatments,row_index,(generated),(not an OMOP field; internal ordering key),,Sequential index per patient; ordered by start_date,Row index within patient's previous treatments,Int64,mandatory
previous_treatments,previous_treatments.additional_treatment,CT_CTTYPESP,"procedure_occurrence, drug_exposure","procedure_concept_id, procedure_source_value; drug_concept_id, drug_source_value (same text tried against both domains)","Direct copy, stripped",Additional treatment specification (free text),String,optional
previous_treatments,previous_treatments.end_date,CT_CTENDAT,"procedure_occurrence, drug_exposure",procedure_end_date; drug_exposure_end_date (falls back to start_date),Parsed to Date,End date of previous treatment,Date,optional
previous_treatments,previous_treatments.start_date,CT_CTSTDAT,"procedure_occurrence, drug_exposure",procedure_date; drug_exposure_start_date,Parsed to Date,Start date of previous treatment,Date,optional
previous_treatments,previous_treatments.treatment,CT_CTTYPE,"procedure_occurrence, drug_exposure","procedure_concept_id, procedure_source_value; drug_concept_id, drug_source_value (same text tried against both domains)","Direct copy, stripped; rows filtered to non-null only",Previous treatment name,String,mandatory
previous_treatments,previous_treatments.treatment_code,CT_CTTYPECD,(not yet mapped),,Cast to Int64,Previous treatment code,Int64,optional
previous_treatments,previous_treatments.sequence_id,CT_CTSPID,(not yet mapped),,Cast to Int64,Sequence identifier for ordering,Int64,optional
treatment_cycles,patient_id,SubjectId,person,person_source_value,Direct copy,Patient identifier,String,mandatory
treatment_cycles,trial_id,(hardcoded),person,location_id (indirect),Set at runtime,Trial identifier,String,mandatory
treatment_cycles,row_index,(generated),(not an OMOP field; internal ordering key),,Sequential index per patient; ordered by start_date,Row index within patient's treatment cycles,Int64,mandatory
treatment_cycles,treatment_cycles.source_treatment_name,TR_TRNAME,"drug_exposure, episode","drug_concept_id, drug_source_value (used when ingredient_name is absent); episode.episode_source_value and episode_object_concept_id (Treatment Regimen / Treatment Cycle episodes, via the drug-regimen lookup)",Cast to String; rows filtered to non-null TR_TRNAME only; field renamed from 'treatment_name',Raw treatment drug name as recorded in source,String,mandatory
treatment_cycles,treatment_cycles.ingredient_name,"(derived: parsed from the parenthetical in TR_TRNAME, e.g. 'Brand (Ingredient)')",drug_exposure,"drug_concept_id, drug_source_value (preferred over source_treatment_name when present)",Extracted via regex; combination drugs ('Ing1 and Ing2') split into one row per ingredient with the paired dose,Individual drug ingredient name,String,optional
treatment_cycles,treatment_cycles.brand_name,(derived: the brand portion before the parenthetical in TR_TRNAME),(not yet mapped),,Extracted via regex,Drug brand name,String,optional
treatment_cycles,treatment_cycles.component_index,(derived: position of this ingredient within a split combination-drug row),(not stored; disambiguates split combination-drug rows during harmonization),,0-based index assigned when a combination drug is split into per-ingredient rows,Component index for split combination-drug rows,Int64,optional
treatment_cycles,treatment_cycles.cycle_type,"TR_TRO_YN, TR_TRODSTOT, TR_TRO_STDT, TR_TROSTPDT, TR_TRIVDS1, TR_TRIVU1, TR_TRIVDELYN1",drug_exposure,route_concept_id (iv/oral mapped via the Route vocabulary); route_source_value,Derived: 'oral' if any oral-specific columns have data; 'iv' if any IV-specific columns have data; null otherwise,Treatment cycle type (oral or IV),String,optional
treatment_cycles,treatment_cycles.end_date,"TR_TROSTPDT, TR_TRC1_DT (next cycle)","drug_exposure, episode",drug_exposure_end_date; episode.episode_end_date (Treatment Regimen and Treatment Cycle episodes),Oral cycles: TR_TROSTPDT directly; IV cycles: next cycle's TR_TRC1_DT - 1 day (per SubjectId + treatment number); null if conflict or last IV cycle,End date of treatment cycle,Date,optional
treatment_cycles,treatment_cycles.iv_dose_prescribed,TR_TRIVDS1,drug_exposure,quantity (IV cycles),Cast to String,IV dose prescribed,String,optional
treatment_cycles,treatment_cycles.iv_dose_prescribed_unit,TR_TRIVU1,drug_exposure,dose_unit_source_value (IV cycles),Cast to String,Unit of IV dose prescribed,String,optional
treatment_cycles,treatment_cycles.number_of_days_tablet_not_taken,TR_TROTABNO,observation,value_as_number; observation_source_value = 'number_of_days_tablet_not_taken' (FK-linked to this cycle's drug_exposure row),Cast to Int64,Number of days oral tablet was not taken in this cycle,Int64,optional
treatment_cycles,treatment_cycles.oral_dose_prescribed_per_day,TR_TRODSTOT,drug_exposure,quantity (oral cycles: dose per day x cycle length in days),Cast to Float64,Oral dose prescribed per day,Float64,optional
